"","source","listed_count","verified","user_created_at","statuses_count","followers_count","friends_count"
"145","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",3,FALSE,"Tue Jan 19 17:37:08 +0000 2010",9867,24,12
"146","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",21,FALSE,"Tue Dec 06 06:21:47 +0000 2011",41468,413,324
"147","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",7848,TRUE,"Mon Jul 21 10:50:09 +0000 2008",82449,1176307,1523
"148","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",124,FALSE,"Mon Jun 22 08:44:44 +0000 2015",446133,2352,362
"149","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,FALSE,"Sun Nov 13 05:13:44 +0000 2016",3193,75,266
"150","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,"Thu Aug 20 19:23:29 +0000 2015",738,29,154
"151","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",33,FALSE,"Sat Feb 21 07:56:12 +0000 2009",4878,1151,590
"152","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",29,FALSE,"Sun Jan 20 00:30:34 +0000 2013",5660,487,667
"153","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",719,FALSE,"Sat May 16 19:34:57 +0000 2015",445012,26158,24107
"154","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",6,FALSE,"Fri Feb 17 19:57:18 +0000 2012",8930,159,101
"155","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",310,FALSE,"Sat Sep 29 08:20:05 +0000 2012",140299,10806,290
"156","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,FALSE,"Fri Mar 04 19:25:56 +0000 2011",2686,128,538
"157","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",59,FALSE,"Sat Oct 31 21:42:21 +0000 2009",70820,28100,3061
"158","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",15,FALSE,"Wed May 09 13:51:03 +0000 2012",5501,848,92
"159","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",20,FALSE,"Sun Aug 26 06:27:35 +0000 2012",28193,594,335
"160","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",11,FALSE,"Sat Jan 03 23:51:50 +0000 2009",26211,223,635
"161","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,FALSE,"Mon Apr 04 14:24:00 +0000 2011",837,142,450
"162","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",5,FALSE,"Mon Sep 17 13:04:07 +0000 2012",5764,2246,1913
"163","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",14,FALSE,"Sun Jan 05 07:20:27 +0000 2014",25444,7365,540
"164","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",35,FALSE,"Fri Mar 07 22:35:11 +0000 2014",29777,137,281
"165","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",11,FALSE,"Sat Jul 29 01:15:57 +0000 2017",12204,1918,2751
"166","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,"Tue Sep 27 08:28:09 +0000 2016",39819,287,174
"167","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,FALSE,"Sun Nov 13 05:13:44 +0000 2016",3194,75,266
"168","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",22,FALSE,"Sun Aug 17 14:16:16 +0000 2014",9879,574,559
"169","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",2,FALSE,"Mon Jul 08 18:54:27 +0000 2013",58436,49,19
"170","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",168,FALSE,"Sun Apr 10 15:52:35 +0000 2016",205682,707,950
"171","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",652,FALSE,"Sun Jun 07 13:30:45 +0000 2015",188444,9172,3329
"172","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",45,FALSE,"Sun Mar 27 02:55:35 +0000 2016",34477,1780,1936
"173","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",208,FALSE,"Tue Dec 22 20:56:12 +0000 2009",214501,2199,1059
"174","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,FALSE,"Tue May 23 13:14:54 +0000 2017",559,21,43
"175","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,FALSE,"Mon Feb 07 10:44:41 +0000 2011",675,46,80
"176","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",11,FALSE,"Wed Aug 31 19:43:37 +0000 2016",12702,165,60
