"","Url_linked","Mentions","RT","No_ofwords","Hashtags","No_ofchars","Comma","Exclamations"
"72",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"73",TRUE,TRUE,TRUE,"Between 11 and 18","One","90 or lesser",FALSE,FALSE
"74",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"75",FALSE,FALSE,FALSE,"Between 11 and 18","Zero","90 or lesser",TRUE,TRUE
"76",FALSE,TRUE,TRUE,"Between 11 and 18","Zero","More than 135",FALSE,FALSE
"77",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"78",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
"79",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"80",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"81",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"82",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"83",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"84",TRUE,TRUE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"85",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"86",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"87",TRUE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"88",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"89",FALSE,TRUE,TRUE,"Between 11 and 18","Two or more","90 or lesser",FALSE,FALSE
"90",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"91",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"92",TRUE,FALSE,FALSE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"93",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"94",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"95",TRUE,FALSE,FALSE,"Less than or equal to 10","Zero","90 or lesser",FALSE,FALSE
"96",TRUE,FALSE,FALSE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"97",TRUE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"98",TRUE,TRUE,TRUE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"99",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"100",FALSE,TRUE,TRUE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"101",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"102",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
"103",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"104",TRUE,TRUE,FALSE,"More than 18","Zero","Between 91 and 135",TRUE,TRUE
"105",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"106",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
"107",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"108",FALSE,TRUE,TRUE,"More than 18","One","Between 91 and 135",FALSE,FALSE
"109",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"110",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"111",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"112",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
