,Url_linked,Mentions,RT,No_ofwords,Hashtags,No_ofchars,Comma,Exclamations,Credibility
64,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,HC
65,TRUE,FALSE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,HC
66,TRUE,FALSE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,HC
67,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,NC
68,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,TRUE,FALSE,LC
69,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,NC
70,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,NC
71,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,TRUE,FALSE,LC
72,TRUE,FALSE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,LC
73,TRUE,TRUE,FALSE,More than 18,One,Between 91 and 135,TRUE,FALSE,HC
74,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,LC
75,TRUE,FALSE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,HC
76,FALSE,FALSE,FALSE,Between 11 and 18,Two or more,90 or lesser,FALSE,TRUE,HC
77,FALSE,TRUE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,HC
78,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,LC
79,FALSE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
80,TRUE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
81,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,LC
82,FALSE,TRUE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,TRUE,HC
83,TRUE,FALSE,FALSE,More than 18,One,More than 135,TRUE,TRUE,NC
84,TRUE,TRUE,FALSE,More than 18,One,Between 91 and 135,FALSE,TRUE,HC
85,TRUE,FALSE,FALSE,More than 18,Two or more,Between 91 and 135,TRUE,TRUE,HC
86,TRUE,FALSE,FALSE,Between 11 and 18,Two or more,Between 91 and 135,TRUE,TRUE,LC
87,FALSE,TRUE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,TRUE,NC
88,TRUE,TRUE,FALSE,More than 18,One,Between 91 and 135,TRUE,FALSE,LC
89,FALSE,TRUE,FALSE,Between 11 and 18,Zero,90 or lesser,TRUE,TRUE,LC
90,TRUE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
91,TRUE,TRUE,FALSE,Less than or equal to 10,Two or more,90 or lesser,FALSE,TRUE,LC
92,TRUE,TRUE,FALSE,More than 18,One,More than 135,FALSE,TRUE,LC
93,TRUE,TRUE,FALSE,Less than or equal to 10,Two or more,90 or lesser,FALSE,TRUE,LC
94,FALSE,TRUE,FALSE,More than 18,One,More than 135,FALSE,TRUE,LC
95,TRUE,FALSE,FALSE,Less than or equal to 10,One,90 or lesser,FALSE,FALSE,LC
96,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,HC
97,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,LC
98,FALSE,FALSE,FALSE,Between 11 and 18,One,90 or lesser,TRUE,FALSE,LC
99,FALSE,TRUE,FALSE,Between 11 and 18,One,90 or lesser,FALSE,FALSE,LC
100,FALSE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,LC
101,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,HC
102,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,HC
103,FALSE,TRUE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,TRUE,NC
104,TRUE,FALSE,TRUE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
